Programa,Numero_consecutivo,Numero_de_Ident_de_pieza,Date,Time,Recorrido_fusion_mm,Corriente_maxima_kA,Area_de_corriente_AS,Energia_acumulada_kJ,Fuerza_soldadura_kN,Corriente_max_1_kA,Area_de_Corriente_max_1_As,Corriente_max_2_kA,Area_de_Corriente_max_2_As,Corriente_max_3_kA,Area_de_Corriente_max_3_As,Corriente_max_4_kA,Area_de_Corriente_max_4_As,Evaluacion
30DS29,53888,221003T112645  53888,2022-10-03,11:26:45,"0,384","164,151","1374,15","21,7662","31,4584","41,0201","334,379","40,6459","333,5","40,5556","367,486","41,9298","338,785",OK
30DS29,53889,221003T112650  53889,2022-10-03,11:26:50,"0,408","165,777","1393,16","21,6996","31,4696","41,4266","338,42","41,2846","338,598","40,8653","373,925","42,2008","342,218",OK
30DS29,53890,221003T112656  53890,2022-10-03,11:26:56,"0,394","167,022","1408,05","21,7053","31,5125","41,6459","342,067","41,562","342,348","41,2266","377,206","42,5879","346,432",OK
30DS29,53891,221003T112702  53891,2022-10-03,11:27:02,"0,402","166,145","1397,53","21,5876","31,5758","41,4782","339,967","41,3169","338,446","40,962","375,113","42,3879","343,999",OK
30DS29,53892,221003T112708  53892,2022-10-03,11:27:08,"0,404","166,629","1396,67","21,7072","31,3454","41,7685","342,467","41,4008","340,515","41,0395","371,823","42,4201","341,864",OK
30DS29,53893,221003T112714  53893,2022-10-03,11:27:14,"0,394","166,171","1396,79","21,6578","31,4651","41,3943","337,872","41,2395","337,741","41,0459","376,625","42,4911","344,555",OK
30DS29,53894,221003T112719  53894,2022-10-03,11:27:19,"0,412","166,009","1392,39","21,6939","31,5396","41,5104","339,874","41,1169","337,281","41,0007","372,687","42,3814","342,552",OK
30DS29,53895,221003T112725  53895,2022-10-03,11:27:25,"0,39","166,474","1398,69","21,7015","31,4922","41,7104","343,263","41,4266","339,59","40,962","373,525","42,375","342,31",OK
30DS29,53896,221003T112847  53896,2022-10-03,11:28:47,"0,406","166,526","1401,19","21,7852","31,3432","41,6201","341,89","41,633","343,484","40,8911","372,472","42,3814","343,34",OK
30DS29,53897,221003T112852  53897,2022-10-03,11:28:52,"0,404","166,887","1399,27","21,7224","31,5758","41,7362","341,321","41,4459","338,664","41,0911","374,48","42,6137","344,804",OK
